ce_id	parent_id	level	short_name	description	stage_id	sort_order	phase	node_class
B02f02-Land use attorney	B02f-Legal	3	Land use attorney	Zoning legal services	Build	2	entitlement	system
B02d-Planning	B02-PreDev	2	Planning	Project planning studies	Build	4	entitlement	system
B02d03-Concept design	B02d-Planning	3	Concept design	Preliminary design concepts	Build	3	entitlement	system
B02d01-Market study	B02d-Planning	3	Market study	Demand analysis	Build	1	entitlement	system
B02d02-Zoning analysis	B02d-Planning	3	Zoning analysis	Land use evaluation	Build	2	entitlement	system
B02g-Public process	B02-PreDev	2	Public process	Community engagement	Build	7	entitlement	system
B02g01-Community meetings	B02g-Public process	3	Community meetings	Neighborhood outreach	Build	1	entitlement	system
B02g02-Government liaison	B02g-Public process	3	Government liaison	Agency coordination	Build	2	entitlement	system
B02a-Surveys	B02-PreDev	2	Surveys	Site survey services	Build	1	entitlement	system
B02a01-Boundary survey	B02a-Surveys	3	Boundary survey	Property line survey	Build	1	entitlement	system
B02a02-Topographic survey	B02a-Surveys	3	Topographic survey	Elevation and contours	Build	2	entitlement	system
B02a03-Utility locate	B02a-Surveys	3	Utility locate	Underground utility mapping	Build	3	entitlement	system
B03-Permits		1	Permits	Permits, plan review, and administrative fees	Build	3	entitlement	regulatory
B04-Utilities		1	Utilities	Utility connection, tap, and capacity fees	Build	4	entitlement	regulatory
B05-SiteInfra		1	SiteInfra	Site work & infrastructure construction	Build	5	construction	system
B05a-Site preparation	B05-SiteInfra	2	Site preparation	Clearing and demolition	Build	1	construction	system
B05b-Earthwork & grading	B05-SiteInfra	2	Earthwork & grading	Earth moving and shaping	Build	2	construction	system
B05a02-Erosion control	B05a-Site preparation	3	Erosion control	Sediment management	Build	2	construction	system
B05a02a-Permanent	B05a02-Erosion control	4	Permanent	Long-term erosion control	Build	1	construction	system
B05a02b-Temporary	B05a02-Erosion control	4	Temporary	Construction-phase control	Build	2	construction	system
B05b01-Grading	B05b-Earthwork & grading	3	Grading	Site leveling	Build	1	construction	system
B05b01c-Fine grading	B05b01-Grading	4	Fine grading	Final surface shaping	Build	3	construction	system
B05b01b-Import/export	B05b01-Grading	4	Import/export	Soil hauling	Build	2	construction	system
B05b01a-Rough grading	B05b01-Grading	4	Rough grading	Initial earth moving	Build	1	construction	system
B05a01-Site prep	B05a-Site preparation	3	Site prep	Initial site work	Build	1	construction	system
B05a01b-Clearing	B05a01-Site prep	4	Clearing	Vegetation removal	Build	2	construction	system
B05a01a-Demolition	B05a01-Site prep	4	Demolition	Structure removal	Build	1	construction	system
B05g-Landscaping & irrigation	B05-SiteInfra	2	Landscaping & irrigation	Planting and watering	Build	7	construction	system
B05g02-Hardscape	B05g-Landscaping & irrigation	3	Hardscape	Paved landscape areas	Build	2	construction	system
B05g01-Irrigation	B05g-Landscaping & irrigation	3	Irrigation	Landscape watering	Build	1	construction	system
B05g04-Shrubs and groundcover	B05g-Landscaping & irrigation	3	Shrubs and groundcover	Low plantings	Build	4	construction	system
B05g05-Sod and seed	B05g-Landscaping & irrigation	3	Sod and seed	Lawn establishment	Build	5	construction	system
B05g03-Trees	B05g-Landscaping & irrigation	3	Trees	Tree planting	Build	3	construction	system
B05e07-EV charging	B05e-Paving & transportation	3	EV charging	Electric vehicle stations	Build	7	construction	system
B05e09-Parking structure	B05e-Paving & transportation	3	Parking structure	Detached parking garages and structures (site work)	Build	9	construction	system
B05e05-Surface lot	B05e-Paving & transportation	3	Surface lot	At-grade parking	Build	5	construction	system
B05e-Paving & transportation	B05-SiteInfra	2	Paving & transportation	Roads and parking	Build	5	construction	system
B05e02-Curb and gutter	B05e-Paving & transportation	3	Curb and gutter	Street edging	Build	2	construction	system
B05e04-Driveways	B05e-Paving & transportation	3	Driveways	Vehicle access	Build	4	construction	system
B05e03-Paving	B05e-Paving & transportation	3	Paving	Asphalt or concrete surface	Build	3	construction	system
B05e06-Sidewalks	B05e-Paving & transportation	3	Sidewalks	Pedestrian paths	Build	6	construction	system
B05e08-Striping and signage	B05e-Paving & transportation	3	Striping and signage	Pavement markings	Build	8	construction	system
B05e01-Subgrade and base	B05e-Paving & transportation	3	Subgrade and base	Pavement foundation	Build	1	construction	system
B05f-Site improvements & amenities	B05-SiteInfra	2	Site improvements & amenities	Site features	Build	6	construction	system
B05f06-Furniture	B05f-Site improvements & amenities	3	Furniture	Benches and fixtures	Build	6	construction	system
B05f04-Lighting	B05f-Site improvements & amenities	3	Lighting	Exterior illumination	Build	4	construction	system
B05f05-Recreation	B05f-Site improvements & amenities	3	Recreation	Play and sport areas	Build	5	construction	system
B05f03-Structures	B05f-Site improvements & amenities	3	Structures	Site buildings	Build	3	construction	system
B05c-Stormwater & drainage	B05-SiteInfra	2	Stormwater & drainage	Storm drainage systems	Build	3	construction	system
B05c01-Detention	B05c-Stormwater & drainage	3	Detention	Stormwater storage	Build	1	construction	system
B05c02-Water quality	B05c-Stormwater & drainage	3	Water quality	Runoff treatment	Build	2	construction	system
B05d-Site utilities (wet + dry)	B05-SiteInfra	2	Site utilities (wet + dry)	Underground utilities	Build	4	construction	system
B05d01-Electric	B05d-Site utilities (wet + dry)	3	Electric	Site electrical service	Build	1	construction	system
B05d01a-Primary	B05d01-Electric	4	Primary	Main electrical feed	Build	1	construction	system
B05d01b-Secondary	B05d01-Electric	4	Secondary	Distribution wiring	Build	2	construction	system
B05d02-Gas	B05d-Site utilities (wet + dry)	3	Gas	Natural gas service	Build	2	construction	system
B05d02a-Main and service	B05d02-Gas	4	Main and service	Gas line and meter	Build	1	construction	system
B05d03-Sanitary sewer	B05d-Site utilities (wet + dry)	3	Sanitary sewer	Wastewater piping	Build	3	construction	system
B05d03a-Main extension	B05d03-Sanitary sewer	4	Main extension	Sewer line extension	Build	1	construction	system
B05d03b-Service lateral	B05d03-Sanitary sewer	4	Service lateral	Building sewer connection	Build	2	construction	system
B05d04-Storm sewer	B05d-Site utilities (wet + dry)	3	Storm sewer	Storm drain piping	Build	4	construction	system
B05d04a-Pipe and structures	B05d04-Storm sewer	4	Pipe and structures	Storm drain system	Build	1	construction	system
B05d05-Telecom	B05d-Site utilities (wet + dry)	3	Telecom	Communications conduit	Build	5	construction	system
B05d05a-Conduit	B05d05-Telecom	4	Conduit	Telecom raceway	Build	1	construction	system
B05d06-Water	B05d-Site utilities (wet + dry)	3	Water	Potable water service	Build	6	construction	system
B05d06a-Main extension	B05d06-Water	4	Main extension	Water line extension	Build	1	construction	system
B05d06b-Service lateral	B05d06-Water	4	Service lateral	Building water connection	Build	2	construction	system
B06-SoftCosts		1	SoftCosts	Professional, consulting, and admin soft costs	Build	6	crosscutting	system
B06f-Project accounting	B06-SoftCosts	2	Project accounting	Financial management	Build	6	crosscutting	system
B06f01-Project accounting	B06f-Project accounting	3	Project accounting	Cost tracking	Build	1	crosscutting	system
B06f02-Tax	B06f-Project accounting	3	Tax	Tax consulting	Build	2	crosscutting	system
B06a-Architecture	B06-SoftCosts	2	Architecture	Design services	Build	1	crosscutting	system
B06a05-Construction admin	B06a-Architecture	3	Construction admin	Construction oversight	Build	5	crosscutting	system
B06a04-Construction documents	B06a-Architecture	3	Construction documents	Permit drawings	Build	4	crosscutting	system
B06a02-Design development	B06a-Architecture	3	Design development	Detailed design	Build	2	crosscutting	system
B06a03-Interior design	B06a-Architecture	3	Interior design	Interior finishes design	Build	3	crosscutting	system
B06a01-Schematic design	B06a-Architecture	3	Schematic design	Concept drawings	Build	1	crosscutting	system
B06c-Consultants	B06-SoftCosts	2	Consultants	Specialty consultants	Build	3	crosscutting	system
B06c03-Accessibility	B06c-Consultants	3	Accessibility	ADA compliance	Build	3	crosscutting	system
B06c04-Acoustical	B06c-Consultants	3	Acoustical	Sound design	Build	4	crosscutting	system
B06c05-Certifications	B06c-Consultants	3	Certifications	Green building certs	Build	5	crosscutting	system
B06c06-Commissioning	B06c-Consultants	3	Commissioning	Systems verification	Build	6	crosscutting	system
B06c02-Energy modeling	B06c-Consultants	3	Energy modeling	Energy analysis	Build	2	crosscutting	system
B06c01-Landscape architect	B06c-Consultants	3	Landscape architect	Landscape design	Build	1	crosscutting	system
B06e-Development management	B06-SoftCosts	2	Development management	Project oversight	Build	5	crosscutting	system
B06e01-Owner rep	B06e-Development management	3	Owner rep	Owner's representative	Build	1	crosscutting	system
B06b-Engineering	B06-SoftCosts	2	Engineering	Engineering consultants	Build	2	crosscutting	system
B06b01-Civil	B06b-Engineering	3	Civil	Site engineering	Build	1	crosscutting	system
B06b02-Electrical	B06b-Engineering	3	Electrical	Electrical design	Build	2	crosscutting	system
B06b03-Fire protection	B06b-Engineering	3	Fire protection	Fire systems design	Build	3	crosscutting	system
B06b04-Mechanical	B06b-Engineering	3	Mechanical	HVAC design	Build	4	crosscutting	system
B06b05-Plumbing	B06b-Engineering	3	Plumbing	Plumbing design	Build	5	crosscutting	system
B06b06-Structural	B06b-Engineering	3	Structural	Structural design	Build	6	crosscutting	system
B06d-Legal	B06-SoftCosts	2	Legal	Project legal services	Build	4	crosscutting	system
B06d02-Contracts	B06d-Legal	3	Contracts	Contract preparation	Build	2	crosscutting	system
B06d01-Entity formation	B06d-Legal	3	Entity formation	Legal entity setup	Build	1	crosscutting	system
B06d03-HOA formation	B06d-Legal	3	HOA formation	Association setup	Build	3	crosscutting	system
B06g-Testing	B06-SoftCosts	2	Testing	Quality assurance	Build	7	crosscutting	system
B06g02-Commissioning	B06g-Testing	3	Commissioning	Startup verification	Build	2	crosscutting	system
B06g01-Field / materials testing	B06g-Testing	3	Field / materials testing	Construction testing	Build	1	crosscutting	system
B06g01a-Geotechnical testing	B06g01-Field / materials testing	4	Geotechnical testing	Soil compaction tests	Build	1	crosscutting	system
B06g01b-Special inspections	B06g01-Field / materials testing	4	Special inspections	Code inspections	Build	2	crosscutting	system
B07-BuildCost		1	BuildCost	Hard construction (materials, labor, subcontractor O&P)	Build	7	construction	system
B07a-Substructure	B07-BuildCost	2	Substructure	Below-grade construction	Build	1	construction	system
B07b-Shell	B07-BuildCost	2	Shell	Building envelope	Build	2	construction	system
B07e-Special systems & options	B07-BuildCost	2	Special systems & options	Technology and upgrades	Build	5	construction	option
B07f-Shared / accessory program spaces	B07-BuildCost	2	Shared / accessory program spaces	Common area construction	Build	6	construction	program
B07b06-Exterior doors	B07b-Shell	3	Exterior doors	Entry openings	Build	6	construction	system
B07b06a-Entry	B07b06-Exterior doors	4	Entry	Front door	Build	1	construction	system
B07b06b-Garage doors	B07b06-Exterior doors	4	Garage doors	Vehicle doors	Build	2	construction	system
B07b06c-Hardware	B07b06-Exterior doors	4	Hardware	Door hardware	Build	3	construction	system
B07b06d-Patio	B07b06-Exterior doors	4	Patio	Sliding/french doors	Build	4	construction	system
B07b07-Insulation	B07b-Shell	3	Insulation	Thermal barrier	Build	7	construction	system
B07b07e-Attic	B07b07-Insulation	4	Attic	Ceiling insulation	Build	5	construction	system
B07b07a-Basement	B07b07-Insulation	4	Basement	Below-grade insulation	Build	1	construction	system
B07b07d-Continuous	B07b07-Insulation	4	Continuous	Exterior insulation	Build	4	construction	system
B07b07b-Floor	B07b07-Insulation	4	Floor	Floor insulation	Build	2	construction	system
B07b07c-Walls	B07b07-Insulation	4	Walls	Wall insulation	Build	3	construction	system
B07b04-Roofing	B07b-Shell	3	Roofing	Roof covering	Build	4	construction	system
B07b04f-Flashing	B07b04-Roofing	4	Flashing	Roof transitions	Build	6	construction	system
B07b04e-Flat roof membrane	B07b04-Roofing	4	Flat roof membrane	Low-slope roofing	Build	5	construction	system
B07b04h-Gutters and downspouts	B07b04-Roofing	4	Gutters and downspouts	Roof drainage	Build	8	construction	system
B07b04d-Metal roofing	B07b04-Roofing	4	Metal roofing	Metal panels	Build	4	construction	system
B07b04b-Shingles	B07b04-Roofing	4	Shingles	Asphalt roofing	Build	2	construction	system
B07b04c-Tile	B07b04-Roofing	4	Tile	Clay/concrete tiles	Build	3	construction	system
B07b04a-Underlayment	B07b04-Roofing	4	Underlayment	Roof substrate	Build	1	construction	system
B07b04g-Vents	B07b04-Roofing	4	Vents	Roof ventilation	Build	7	construction	system
B07b08-Siding	B07b-Shell	3	Siding	Exterior cladding	Build	8	construction	system
B07b08a-Brick	B07b08-Siding	4	Brick	Brick veneer	Build	1	construction	system
B07b08b-Engineered wood	B07b08-Siding	4	Engineered wood	Composite siding	Build	2	construction	system
B07b08c-Fiber cement	B07b08-Siding	4	Fiber cement	Cement board siding	Build	3	construction	system
B07b08d-Metal	B07b08-Siding	4	Metal	Metal panels	Build	4	construction	system
B07b08e-Soffit	B07b08-Siding	4	Soffit	Eave covering	Build	5	construction	system
B07b08f-Stone	B07b08-Siding	4	Stone	Stone veneer	Build	6	construction	system
B07b08g-Stucco	B07b08-Siding	4	Stucco	Cement plaster	Build	7	construction	system
B07b08h-Trim	B07b08-Siding	4	Trim	Exterior trim	Build	8	construction	system
B07b08i-Vinyl	B07b08-Siding	4	Vinyl	Vinyl siding	Build	9	construction	system
B07b08j-Wood	B07b08-Siding	4	Wood	Wood siding	Build	10	construction	system
B07b03-Weather barriers	B07b-Shell	3	Weather barriers	Moisture protection	Build	3	construction	system
B07b03b-Flashing	B07b03-Weather barriers	4	Flashing	Water diversion	Build	2	construction	system
B07b03a-House wrap	B07b03-Weather barriers	4	House wrap	Weather resistive barrier	Build	1	construction	system
B07b03d-Rain screen	B07b03-Weather barriers	4	Rain screen	Drainage cavity	Build	4	construction	system
B07b03c-Sealants	B07b03-Weather barriers	4	Sealants	Joint sealing	Build	3	construction	system
B07b05-Windows	B07b-Shell	3	Windows	Glazing systems	Build	5	construction	system
B07b05a-Fiberglass	B07b05-Windows	4	Fiberglass	Fiberglass windows	Build	1	construction	system
B07b05b-Skylights	B07b05-Windows	4	Skylights	Roof windows	Build	2	construction	system
B07b05c-Vinyl	B07b05-Windows	4	Vinyl	Vinyl windows	Build	3	construction	system
B07b05d-Wood	B07b05-Windows	4	Wood	Wood windows	Build	4	construction	system
B07b11-Deck	B07b-Shell	3	Deck	Exterior platform	Build	11	construction	system
B07b11b-Decking	B07b11-Deck	4	Decking	Deck surface	Build	2	construction	system
B07b11c-Railing	B07b11-Deck	4	Railing	Deck guardrail	Build	3	construction	system
B07b11a-Structure	B07b11-Deck	4	Structure	Deck framing	Build	1	construction	system
B07b02-Attached garage	B07b-Shell	3	Attached garage	Attached garage construction (building shell)	Build	2	construction	system
B07b02c-Fire separation	B07b02-Attached garage	4	Fire separation	Fire-rated assembly	Build	3	construction	system
B07b02a-Slab	B07b02-Attached garage	4	Slab	Garage floor	Build	1	construction	system
B07b02b-Walls and ceiling	B07b02-Attached garage	4	Walls and ceiling	Garage enclosure	Build	2	construction	system
B07b09-Paint	B07b-Shell	3	Paint	Exterior coatings	Build	9	construction	system
B07b09a-Exterior	B07b09-Paint	4	Exterior	Exterior painting	Build	1	construction	system
B07b10-Porch	B07b-Shell	3	Porch	Covered entry	Build	10	construction	system
B07b10a-Covered	B07b10-Porch	4	Covered	Roofed porch	Build	1	construction	system
B07b10b-Screened	B07b10-Porch	4	Screened	Screened enclosure	Build	2	construction	system
B07d-Interiors	B07-BuildCost	2	Interiors	Interior finishes	Build	4	construction	system
B07d12-Appliances	B07d-Interiors	3	Appliances	Built-in appliances	Build	12	construction	system
B07d12a-Kitchen	B07d12-Appliances	4	Kitchen	Kitchen appliances	Build	1	construction	system
B07d12b-Laundry	B07d12-Appliances	4	Laundry	Washer/dryer	Build	2	construction	system
B07d11-Bath accessories	B07d-Interiors	3	Bath accessories	Bathroom hardware	Build	11	construction	system
B07d11a-Hardware	B07d11-Bath accessories	4	Hardware	Bath hardware	Build	1	construction	system
B07d11b-Mirrors	B07d11-Bath accessories	4	Mirrors	Bath mirrors	Build	2	construction	system
B07d11c-Shower doors	B07d11-Bath accessories	4	Shower doors	Glass enclosures	Build	3	construction	system
B07d06-Cabinets	B07d-Interiors	3	Cabinets	Built-in casework	Build	6	construction	system
B07d06a-Bathroom	B07d06-Cabinets	4	Bathroom	Bath vanities	Build	1	construction	system
B07d06b-Kitchen	B07d06-Cabinets	4	Kitchen	Kitchen cabinets	Build	2	construction	system
B07d06c-Laundry	B07d06-Cabinets	4	Laundry	Utility cabinets	Build	3	construction	system
B07d07-Countertops	B07d-Interiors	3	Countertops	Work surfaces	Build	7	construction	system
B07d07a-Backsplash	B07d07-Countertops	4	Backsplash	Counter splash guard	Build	1	construction	system
B07d07b-Bathroom	B07d07-Countertops	4	Bathroom	Bath counters	Build	2	construction	system
B07d07c-Kitchen	B07d07-Countertops	4	Kitchen	Kitchen counters	Build	3	construction	system
B07d10-Doors	B07d-Interiors	3	Doors	Interior doors	Build	10	construction	system
B07d10b-Closet doors	B07d10-Doors	4	Closet doors	Storage doors	Build	2	construction	system
B07d10c-Hardware	B07d10-Doors	4	Hardware	Door hardware	Build	3	construction	system
B07d10a-Interior doors	B07d10-Doors	4	Interior doors	Passage doors	Build	1	construction	system
B07d01-Drywall	B07d-Interiors	3	Drywall	Gypsum board	Build	1	construction	system
B07d01a-Board and hang	B07d01-Drywall	4	Board and hang	Drywall installation	Build	1	construction	system
B07d01b-Finish	B07d01-Drywall	4	Finish	Taping and mudding	Build	2	construction	system
B07d01c-Texture	B07d01-Drywall	4	Texture	Surface texture	Build	3	construction	system
B07d04-Fireplace	B07d-Interiors	3	Fireplace	Hearth systems	Build	4	construction	system
B07d08-Flooring	B07d-Interiors	3	Flooring	Floor finishes	Build	8	construction	system
B07d08f-Carpet	B07d08-Flooring	4	Carpet	Carpet and pad	Build	6	construction	system
B07d08c-Hardwood	B07d08-Flooring	4	Hardwood	Wood flooring	Build	3	construction	system
B07d08d-LVP/LVT	B07d08-Flooring	4	LVP/LVT	Luxury vinyl	Build	4	construction	system
B07d08e-Laminate	B07d08-Flooring	4	Laminate	Laminate flooring	Build	5	construction	system
B07d08a-Subfloor prep	B07d08-Flooring	4	Subfloor prep	Floor preparation	Build	1	construction	system
B07d08b-Tile	B07d08-Flooring	4	Tile	Ceramic floor tile	Build	2	construction	system
B07d08g-Transitions	B07d08-Flooring	4	Transitions	Floor transitions	Build	7	construction	system
B07d03-Paint	B07d-Interiors	3	Paint	Interior coatings	Build	3	construction	system
B07d03a-Interior	B07d03-Paint	4	Interior	Interior painting	Build	1	construction	system
B07d09-Trim	B07d-Interiors	3	Trim	Millwork and molding	Build	9	construction	system
B07d09a-Baseboard	B07d09-Trim	4	Baseboard	Base molding	Build	1	construction	system
B07d09b-Casing	B07d09-Trim	4	Casing	Door/window trim	Build	2	construction	system
B07d09c-Crown molding	B07d09-Trim	4	Crown molding	Ceiling trim	Build	3	construction	system
B07d09d-Shelving and closets	B07d09-Trim	4	Shelving and closets	Storage systems	Build	4	construction	system
B07d09e-Stair parts	B07d09-Trim	4	Stair parts	Stair trim	Build	5	construction	system
B07d05-Wall tile	B07d-Interiors	3	Wall tile	Ceramic wall tile	Build	5	construction	system
B07d05a-Tub/shower surround	B07d05-Wall tile	4	Tub/shower surround	Wet area tile	Build	1	construction	system
B07c-Services	B07-BuildCost	2	Services	Mechanical/electrical/plumbing	Build	3	construction	system
B07c03-Electrical	B07c-Services	3	Electrical	Power and lighting	Build	3	construction	system
B07c03g-Devices	B07c03-Electrical	4	Devices	Outlets and switches	Build	7	construction	system
B07c03g01-Receptacles	B07c03g-Devices	5	Receptacles	Power outlets	Build	1	construction	system
B07c03g02-Switches	B07c03g-Devices	5	Switches	Light switches	Build	2	construction	system
B07c03d-EV ready	B07c03-Electrical	4	EV ready	EV charging prep	Build	4	construction	system
B07c03h-Lighting	B07c03-Electrical	4	Lighting	Light fixtures	Build	8	construction	system
B07c03h01-Ceiling fans	B07c03h-Lighting	5	Ceiling fans	Fan fixtures	Build	1	construction	system
B07c03h02-Exterior	B07c03h-Lighting	5	Exterior	Outdoor lights	Build	2	construction	system
B07c03h03-Interior	B07c03h-Lighting	5	Interior	Indoor lights	Build	3	construction	system
B07c03e-Low voltage	B07c03-Electrical	4	Low voltage	Data and comm	Build	5	construction	system
B07c03e01-Data/telecom	B07c03e-Low voltage	5	Data/telecom	Network wiring	Build	1	construction	system
B07c03e02-Doorbell	B07c03e-Low voltage	5	Doorbell	Entry notification	Build	2	construction	system
B07c03b-Rough	B07c03-Electrical	4	Rough	Wire rough-in	Build	2	construction	system
B07c03b01-Wire and boxes	B07c03b-Rough	5	Wire and boxes	Branch circuits	Build	1	construction	system
B07c03f-Safety	B07c03-Electrical	4	Safety	Life safety devices	Build	6	construction	system
B07c03f01-Smoke/CO detectors	B07c03f-Safety	5	Smoke/CO detectors	Safety alarms	Build	1	construction	system
B07c03a-Service	B07c03-Electrical	4	Service	Electrical service	Build	1	construction	system
B07c03a01-Meter and grounding	B07c03a-Service	5	Meter and grounding	Service entrance	Build	1	construction	system
B07c03a02-Panel	B07c03a-Service	5	Panel	Breaker panel	Build	2	construction	system
B07c03c-Solar ready	B07c03-Electrical	4	Solar ready	PV prep wiring	Build	3	construction	system
B07c05-Fire protection	B07c-Services	3	Fire protection	Fire suppression	Build	5	construction	system
B07c05b-Fire alarm	B07c05-Fire protection	4	Fire alarm	Detection system	Build	2	construction	system
B07c05a-Sprinkler	B07c05-Fire protection	4	Sprinkler	Fire sprinklers	Build	1	construction	system
B07c04-HVAC	B07c-Services	3	HVAC	Heating and cooling	Build	4	construction	system
B07c04e-Controls	B07c04-HVAC	4	Controls	HVAC controls	Build	5	construction	system
B07c04e01-Thermostat	B07c04e-Controls	5	Thermostat	Temperature control	Build	1	construction	system
B07c04c-Cooling	B07c04-HVAC	4	Cooling	Air conditioning	Build	3	construction	system
B07c04c01-Central AC	B07c04c-Cooling	5	Central AC	Central cooling	Build	1	construction	system
B07c04c02-Minisplit	B07c04c-Cooling	5	Minisplit	Ductless system	Build	2	construction	system
B07c04a-Distribution	B07c04-HVAC	4	Distribution	Air delivery	Build	1	construction	system
B07c04a01-Ductwork	B07c04a-Distribution	5	Ductwork	Air ducts	Build	1	construction	system
B07c04a02-Registers	B07c04a-Distribution	5	Registers	Supply/return grilles	Build	2	construction	system
B07c04b-Heating	B07c04-HVAC	4	Heating	Heat source	Build	2	construction	system
B07c04b01-Boiler	B07c04b-Heating	5	Boiler	Hot water heat	Build	1	construction	system
B07c04b02-Furnace	B07c04b-Heating	5	Furnace	Forced air heat	Build	2	construction	system
B07c04b03-Heat pump	B07c04b-Heating	5	Heat pump	Heat pump system	Build	3	construction	system
B07c04b04-Radiant	B07c04b-Heating	5	Radiant	Floor/ceiling heat	Build	4	construction	system
B07c04d-Ventilation	B07c04-HVAC	4	Ventilation	Air exchange	Build	4	construction	system
B07c04d01-Bath fans	B07c04d-Ventilation	5	Bath fans	Exhaust fans	Build	1	construction	system
B07c04d02-Kitchen hood	B07c04d-Ventilation	5	Kitchen hood	Range exhaust	Build	2	construction	system
B07c04d03-Whole house	B07c04d-Ventilation	5	Whole house	Fresh air system	Build	3	construction	system
B07c02-Plumbing	B07c-Services	3	Plumbing	Water and waste systems	Build	2	construction	system
B07c02d-Fixtures	B07c02-Plumbing	4	Fixtures	Plumbing fixtures	Build	4	construction	system
B07c02d01-Faucets	B07c02d-Fixtures	5	Faucets	Sink/tub faucets	Build	1	construction	system
B07c02d02-Sinks	B07c02d-Fixtures	5	Sinks	Lavatories and sinks	Build	2	construction	system
B07c02d03-Toilets	B07c02d-Fixtures	5	Toilets	Water closets	Build	3	construction	system
B07c02d04-Tubs and showers	B07c02d-Fixtures	5	Tubs and showers	Bathing fixtures	Build	4	construction	system
B07c02b-Gas piping	B07c02-Plumbing	4	Gas piping	Fuel gas lines	Build	2	construction	system
B07c02a-Rough	B07c02-Plumbing	4	Rough	Pipe rough-in	Build	1	construction	system
B07c02a01-DWV piping	B07c02a-Rough	5	DWV piping	Drain/waste/vent	Build	1	construction	system
B07c02a02-Supply piping	B07c02a-Rough	5	Supply piping	Water supply lines	Build	2	construction	system
B07c02a03-Venting	B07c02a-Rough	5	Venting	Plumbing vents	Build	3	construction	system
B07c02c-Water heater	B07c02-Plumbing	4	Water heater	Hot water system	Build	3	construction	system
B07f01-Access control	B07f-Shared / accessory program spaces	3	Access control	Entry security	Build	1	construction	program
B07f02-Common areas	B07f-Shared / accessory program spaces	3	Common areas	Shared spaces	Build	2	construction	program
B07f02a-Clubhouse	B07f02-Common areas	4	Clubhouse	Community building	Build	1	construction	program
B07f02b-Corridors	B07f02-Common areas	4	Corridors	Common hallways	Build	2	construction	program
B07f02c-Fitness room	B07f02-Common areas	4	Fitness room	Exercise facility	Build	3	construction	program
B07f02d-Leasing office	B07f02-Common areas	4	Leasing office	Management office	Build	4	construction	program
